config,rep,episode,event,time_ros_s,time_log_s,target_id,target_true_x,target_true_y,robot_x,robot_y,robot_dist_m,threshold_m,detail
APF,1,1,investigate_start,,1788986541.099372512,0,10.0,10.0,,,,,
APF,1,1,inspected,,1788986562.199529447,0,,,,,1.77,,credited 1/3
APF,1,2,investigate_start,,1788986648.303011129,1,0.0,15.0,,,,,
APF,1,2,inspected,,1788986668.403240481,1,,,,,1.77,,credited 2/3
APF,1,3,investigate_start,,1788986700.238425092,2,-5.0,5.0,,,,,
APF,1,3,inspected,,1788986725.273890763,2,,,,,1.78,,credited 3/3
APF,2,1,investigate_start,,1788987030.193070555,0,10.0,10.0,,,,,
APF,2,1,inspected,,1788987052.225894993,0,,,,,1.78,,credited 1/3
APF,2,2,investigate_start,,1788987132.424007043,1,0.0,15.0,,,,,
APF,2,2,inspected,,1788987153.573619602,1,,,,,1.77,,credited 2/3
APF,2,3,investigate_start,,1788987185.453199471,2,-5.0,5.0,,,,,
APF,2,3,inspected,,1788987210.419136213,2,,,,,1.79,,credited 3/3
APF,3,1,investigate_start,,1788987518.621830937,0,10.0,10.0,,,,,
APF,3,1,inspected,,1788987540.864122299,0,,,,,1.76,,credited 1/3
APF,3,2,investigate_start,,1788987621.075516847,1,0.0,15.0,,,,,
APF,3,2,inspected,,1788987642.335412550,1,,,,,1.78,,credited 2/3
APF,3,3,investigate_start,,1788987674.088374399,2,-5.0,5.0,,,,,
APF,3,3,inspected,,1788987698.087879066,2,,,,,1.77,,credited 3/3
APF,4,1,investigate_start,,1788988000.570613501,0,10.0,10.0,,,,,
APF,4,1,inspected,,1788988022.722707291,0,,,,,1.76,,credited 1/3
APF,4,2,investigate_start,,1788988102.525739727,1,0.0,15.0,,,,,
APF,4,2,inspected,,1788988123.483095039,1,,,,,1.76,,credited 2/3
APF,4,3,investigate_start,,1788988154.238081844,2,-5.0,5.0,,,,,
APF,4,3,inspected,,1788988179.393618540,2,,,,,1.78,,credited 3/3
APF,5,1,investigate_start,,1788988485.931836396,0,10.0,10.0,,,,,
APF,5,1,inspected,,1788988508.084943433,0,,,,,1.77,,credited 1/3
APF,5,2,investigate_start,,1788988598.288270743,1,0.0,15.0,,,,,
APF,5,2,inspected,,1788988619.342770466,1,,,,,1.78,,credited 2/3
APF,5,3,investigate_start,,1788988651.201227684,2,-5.0,5.0,,,,,
APF,5,3,inspected,,1788988676.350868193,2,,,,,1.77,,credited 3/3
APF,6,1,investigate_start,,1788988986.897325304,0,10.0,10.0,,,,,
APF,6,1,inspected,,1788989009.113871814,0,,,,,1.78,,credited 1/3
APF,6,2,investigate_start,,1788989085.266224984,1,0.0,15.0,,,,,
APF,6,2,inspected,,1788989106.308235270,1,,,,,1.77,,credited 2/3
APF,6,3,investigate_start,,1788989137.206408896,2,-5.0,5.0,,,,,
APF,6,3,inspected,,1788989161.306426062,2,,,,,1.78,,credited 3/3
APF,7,1,investigate_start,,1788989472.102304889,0,10.0,10.0,,,,,
APF,7,1,inspected,,1788989493.202833764,0,,,,,1.77,,credited 1/3
APF,7,2,investigate_start,,1788989575.265048806,1,0.0,15.0,,,,,
APF,7,2,inspected,,1788989595.364828870,1,,,,,1.78,,credited 2/3
APF,7,3,investigate_start,,1788989627.134345177,2,-5.0,5.0,,,,,
APF,7,3,inspected,,1788989652.114924351,2,,,,,1.78,,credited 3/3
APF,8,1,investigate_start,,1788989956.081443174,0,10.0,10.0,,,,,
APF,8,1,inspected,,1788989978.187630014,0,,,,,1.80,,credited 1/3
APF,8,2,investigate_start,,1788990053.438167257,1,0.0,15.0,,,,,
APF,8,2,inspected,,1788990074.571413431,1,,,,,1.77,,credited 2/3
APF,8,3,investigate_start,,1788990105.510174002,2,-5.0,5.0,,,,,
APF,8,3,inspected,,1788990129.609640265,2,,,,,1.78,,credited 3/3
APF,9,1,investigate_start,,1788990436.144727420,0,10.0,10.0,,,,,
APF,9,1,inspected,,1788990457.145551453,0,,,,,1.76,,credited 1/3
APF,9,2,investigate_start,,1788990538.597857181,1,0.0,15.0,,,,,
APF,9,2,inspected,,1788990558.597605648,1,,,,,1.78,,credited 2/3
APF,9,3,investigate_start,,1788990589.558505436,2,-5.0,5.0,,,,,
APF,9,3,inspected,,1788990614.807093602,2,,,,,1.77,,credited 3/3
CONF,1,1,avoid_start,,1788914424.571541619,,,,,,,,phi=-0.454
CONF,1,1,avoid_end,,1788914432.371722135,,,,,,,,reason=retreated dur=7.8s
CONF,1,2,investigate_start,,1788914545.215045966,0,10.0,10.0,,,,,
CONF,1,2,inspected,,1788914556.615526294,0,,,,,2.23,,credited 1/4
CONF,1,3,investigate_start,,1788914612.507007107,1,0.0,15.0,,,,,
CONF,1,3,inspected,,1788914625.507309733,1,,,,,2.23,,credited 2/4
CONF,1,4,investigate_start,,1788914659.147959232,2,-5.0,5.0,,,,,
CONF,1,4,inspected,,1788914669.748438920,2,,,,,2.23,,credited 3/4
CONF,10,1,avoid_start,,1788918354.051252813,,,,,,,,phi=-0.534
CONF,10,1,avoid_end,,1788918362.353816229,,,,,,,,reason=retreated dur=7.6s
CONF,10,2,investigate_start,,1788918475.850667836,0,10.0,10.0,,,,,
CONF,10,2,inspected,,1788918485.850587927,0,,,,,2.23,,credited 1/4
CONF,10,3,investigate_start,,1788918546.199416170,1,0.0,15.0,,,,,
