config,n_valid,n_failed_init,anomalies_unique_mean,anomalies_unique_std,route_deviations_mean,route_deviations_std,hazard_avoidances_mean,hazard_avoidances_std,min_hazard_distance_m_mean,min_hazard_distance_m_std,min_ttc_s_mean,min_ttc_s_std,collisions_mean,collisions_std,mission_duration_s_mean,mission_duration_s_std,distance_traveled_m_mean,distance_traveled_m_std,update_residual_mean,update_residual_std,investigation_timeouts_mean,investigation_timeouts_std,investigation_deferred_mean,investigation_deferred_std,nav_aborted_mean,nav_aborted_std,nav_canceled_mean,nav_canceled_std,nav_rejected_mean,nav_rejected_std
E1,10,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7114,0.0003,18.6076,0.1430,0.0000,0.0000,320.2608,0.4883,80.3813,0.0297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E0,10,0,3.0000,0.0000,4.0000,0.0000,1.0000,0.0000,4.8425,0.0212,17.1550,1.3146,0.0000,0.0000,363.7372,1.1011,86.5815,0.0760,0.0214,0.0092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E2,10,0,3.0000,0.0000,4.0000,0.0000,1.0000,0.0000,4.8704,0.0241,15.8266,1.5853,0.0000,0.0000,364.1260,1.6415,86.5365,0.1022,0.0210,0.0073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E3,10,0,3.0000,0.0000,4.0000,0.0000,1.0000,0.0000,4.8593,0.0343,17.1066,1.7172,0.0000,0.0000,364.4380,1.4247,86.5793,0.1667,0.0198,0.0103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E4,10,0,3.0000,0.0000,4.0000,0.0000,1.0000,0.0000,4.8722,0.0299,16.6349,1.2099,0.0000,0.0000,364.2916,0.5459,86.5246,0.0955,0.0217,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E5,10,0,4.7000,0.6749,9.3000,1.2517,1.0000,0.0000,4.8456,0.0292,17.1317,1.1964,0.0000,0.0000,402.5240,13.4499,91.6316,1.9380,0.0174,0.0046,0.3000,0.6749,0.0000,0.0000,0.2000,0.4216,0.0000,0.0000,0.0000,0.0000
APF,9,1,3.0000,0.0000,0.0000,0.0000,1.0000,0.0000,4.8103,0.0004,17.2271,1.3935,0.0000,0.0000,403.8018,4.6953,86.3896,0.0917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RHM,9,1,3.0000,0.0000,4.0000,0.0000,1.0000,0.0000,1.7128,0.0121,5.5834,0.9298,0.0000,0.0000,371.8836,1.2642,88.2222,0.2223,0.0147,0.0057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RHB,10,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7115,0.0003,2.7660,0.0773,0.0000,0.0000,320.3332,0.6434,80.3877,0.0306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N1,10,0,3.0000,0.0000,4.2000,0.6325,1.1000,0.3162,5.0073,0.1055,16.7724,1.4182,0.0000,0.0000,366.5620,4.9244,87.0285,0.9347,0.0171,0.0083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N2,9,1,2.3333,0.7071,4.8889,0.6009,1.6667,0.5000,5.2855,0.1995,16.7118,1.5426,0.0000,0.0000,374.0671,7.8820,88.7147,1.5973,0.0173,0.0074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CONF,10,0,3.0000,0.0000,4.0000,0.0000,1.0000,0.0000,4.8392,0.0191,17.2993,1.5825,0.0000,0.0000,364.0388,1.7809,86.4730,0.0981,0.0230,0.0087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
KOa,10,0,3.0000,0.0000,4.0000,0.0000,0.0000,0.0000,1.7144,0.0076,5.8122,0.0787,0.0000,0.0000,352.2212,0.6052,84.4207,0.0967,0.0199,0.0082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
KOb,9,1,0.2222,0.4410,29.8889,3.3706,29.5556,3.9405,4.2906,0.0781,8.6633,0.1918,0.0000,0.0000,627.1564,5.8490,128.9918,3.6044,0.0594,0.0851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DHa,10,0,0.0000,0.0000,2.0000,0.0000,1.0000,0.0000,2.5348,0.1324,5.0667,0.2539,0.0000,0.0000,347.7456,1.5241,85.1996,1.7108,0.0187,0.0090,0.0000,0.0000,1.0000,0.0000,0.3000,0.4830,0.0000,0.0000,0.0000,0.0000
DHb,10,0,1.0000,0.0000,2.0000,0.0000,0.0000,0.0000,2.2236,0.0055,4.6431,0.0949,0.0000,0.0000,338.4220,0.7427,83.2916,0.1159,0.0208,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
